time,rmsd_cancer
0.0,0.0
100.0,1.300315
200.0,1.510478
300.0,1.885203
400.0,2.184039
500.0,2.314178
600.0,2.612923
700.0,2.636794
800.0,2.433833
900.0,2.212563
1000.0,2.236429
1100.0,2.283158
1200.0,2.559263
1300.0,2.669269
1400.0,2.844359
1500.0,3.257212
1600.0,2.977225
1700.0,3.244105
1800.0,3.415283
1900.0,3.431448
2000.0,3.471636
2100.0,3.337802
2200.0,3.593806
2300.0,4.241016
2400.0,4.549012
2500.0,4.371642
2600.0,4.376999
2700.0,4.6394
2800.0,4.676596
2900.0,4.427128
3000.0,4.502934
3100.0,4.434088
3200.0,4.425763
3300.0,4.792962
3400.0,4.835059
3500.0,5.250228
3600.0,4.916337
3700.0,4.85811
3800.0,5.132196
3900.0,5.535151
4000.0,6.034207
4100.0,5.856491
4200.0,5.798747
4300.0,5.895044
4400.0,5.663231
4500.0,5.3935
4600.0,5.046308
4700.0,4.65146
4800.0,4.228141
4900.0,3.922602
5000.0,3.630308
5100.0,3.330238
5200.0,3.619299
5300.0,3.628391
5400.0,4.101074
5500.0,4.109158
5600.0,4.388855
5700.0,4.533345
5800.0,4.403463
5900.0,4.503246
6000.0,4.791213
6100.0,4.907364
6200.0,5.12369
6300.0,5.462818
6400.0,5.758143
6500.0,5.793885
6600.0,5.408361
6700.0,5.132589
6800.0,5.21349
6900.0,4.939957
7000.0,4.798537
